Country Name,Country Code,2018
Albania,ALB,15
Andorra,AND,1
Arab World,ARB,3791
United Arab Emirates,ARE,56
Argentina,ARG,425
Armenia,ARM,101
Antigua and Barbuda,ATG,5
Australia,AUS,2757
Austria,AUT,2039
Azerbaijan,AZE,155
Belgium,BEL,892
Bangladesh,BGD,69
Bulgaria,BGR,180
Bahrain,BHR,11
Bosnia and Herzegovina,BIH,84
Belarus,BLR,453
Brazil,BRA,4980
Brunei Darussalam,BRN,24
Canada,CAN,4349
Central Europe and the Baltics,CEB,7356
Switzerland,CHE,1283
Chile,CHL,406
China,CHN,1393815
Colombia,COL,415
Cabo Verde,CPV,3
Costa Rica,CRI,7
Cuba,CUB,29
Cyprus,CYP,4
Czech Republic,CZE,678
Germany,DEU,46617
Denmark,DNK,1262
Dominican Republic,DOM,17
Algeria,DZA,152
Ecuador,ECU,34
"Egypt, Arab Rep.",EGY,997
Euro area,EMU,79781
Spain,ESP,1525
Estonia,EST,24
Ethiopia,ETH,13
European Union,EUU,102439
Finland,FIN,1387
France,FRA,14303
United Kingdom,GBR,12865
Georgia,GEO,103
Ghana,GHA,13
Greece,GRC,430
Guatemala,GTM,6
Guyana,GUY,2
"Hong Kong SAR, China",HKG,314
Honduras,HND,8
Croatia,HRV,121
Hungary,HUN,407
Indonesia,IDN,1407
India,IND,16289
Ireland,IRL,76
"Iran, Islamic Rep.",IRN,11908
Iraq,IRQ,653
Iceland,ISL,56
Israel,ISR,1506
Italy,ITA,8921
Jamaica,JAM,26
Jordan,JOR,24
Japan,JPN,253630
Kazakhstan,KAZ,789
Kenya,KEN,244
"Korea, Rep.",KOR,162561
Kuwait,KWT,1
Lao PDR,LAO,1
St. Lucia,LCA,2
Sri Lanka,LKA,343
Lithuania,LTU,81
Luxembourg,LUX,152
Latvia,LVA,86
"Macao SAR, China",MAC,1
Morocco,MAR,187
Monaco,MCO,4
Moldova,MDA,92
Madagascar,MDG,9
Mexico,MEX,1555
Montenegro,MNE,3
Mongolia,MNG,82
Mozambique,MOZ,34
Mauritius,MUS,16
Malaysia,MYS,1116
Namibia,NAM,21
Nigeria,NGA,120
Netherlands,NLD,2111
Norway,NOR,1082
New Zealand,NZL,1017
Pakistan,PAK,306
Panama,PAN,135
Peru,PER,89
Philippines,PHL,529
Poland,POL,4207
Portugal,PRT,661
Romania,ROU,1100
Russian Federation,RUS,24926
Rwanda,RWA,6
South Asia,SAS,17007
Saudi Arabia,SAU,1078
Sudan,SDN,349
Singapore,SGP,1575
El Salvador,SLV,3
San Marino,SMR,14
Serbia,SRB,163
Slovak Republic,SVK,217
Slovenia,SVN,255
Sweden,SWE,1838
Syrian Arab Republic,SYR,103
Thailand,THA,904
Trinidad and Tobago,TTO,4
Tunisia,TUN,180
Turkey,TUR,7156
Tanzania,TZA,25
Uganda,UGA,6
Ukraine,UKR,2107
United States,USA,285095
Uzbekistan,UZB,470
Vietnam,VNM,646
Samoa,WSM,1
South Africa,ZAF,657